model,seed,regime,k,zmid_m,sigma_T,sigma_S,rmse_T,rmse_S,floor_T,floor_S,n
HeaveFast,42,lc,21,198.628367477501,1.0235740906862505,0.13465585575938788,1.0235740906862505,0.13465585575938788,False,False,240
HeaveFast,42,lc,22,256.89684052475667,0.9353581933142132,0.13842574965314178,0.9353581933142132,0.13842574965314178,False,False,240
HeaveFast,42,lc,23,323.7307751056255,0.8816168814001446,0.1370769068726761,0.8816168814001446,0.1370769068726761,False,False,240
HeaveFast,42,lc,24,420.3034332854247,0.7719446619245476,0.11878143562097862,0.7719446619245476,0.11878143562097862,False,False,240
HeaveFast,42,lc,25,527.207848736849,0.639128549512226,0.09138083592976239,0.639128549512226,0.09138083592976239,False,False,240
HeaveFast,42,lc,26,625.15220607476,0.5070084394674977,0.059609125602749086,0.5070084394674977,0.059609125602749086,False,False,240
HeaveFast,42,lc,27,741.9911521140331,0.36650388363398945,0.029625120171512583,0.36650388363398945,0.029625120171512583,False,False,240
HeaveFast,42,lc,28,861.7602376512325,0.2626226985050765,0.02,0.2626226985050765,0.011072949398102959,False,True,240
HeaveFast,42,lc,29,962.4660312625703,0.22914553456505168,0.02,0.22914553456505168,0.00779117979652388,False,True,240
HeaveFast,42,lc,30,1061.8371484711388,0.21890037736125392,0.02,0.21890037736125392,0.008445965438607334,False,True,240
HeaveFast,42,lc,31,1192.2491621086228,0.1818159966922094,0.02,0.1818159966922094,0.008096358603203964,False,True,240
HeaveFast,42,lc,32,1963.265144121478,0.054753667830544514,0.02,0.054753667830544514,0.004691176274458607,False,True,240
HeaveFast,42,lc,33,2791.480209178727,,,,,False,False,0
HeaveFast,42,lc,34,2927.8273667435824,,,,,False,False,0
HeaveFast,42,lc,35,2927.827385917402,,,,,False,False,0
HeaveFast,42,lc,36,2927.827385917402,,,,,False,False,0
HeaveFast,42,lc,37,2927.827385917402,,,,,False,False,0
HeaveFast,42,lc,38,2927.8273859174024,,,,,False,False,0
HeaveFast,42,lc,39,2927.8273859174024,,,,,False,False,0
HeaveFast,42,lc,40,2927.8273859174024,,,,,False,False,0
HeaveFast,42,complement,0,0.5,1.2520831948510844,0.6044063562578375,1.2520831948510844,0.6044063562578375,False,False,383
HeaveFast,42,complement,1,1.900000039835305,1.251369503347245,0.6032031842638296,1.251369503347245,0.6032031842638296,False,False,383
HeaveFast,42,complement,2,4.420000051785896,1.2402653962941932,0.52420555684073,1.2402653962941932,0.52420555684073,False,False,383
HeaveFast,42,complement,3,8.379999928296451,1.2371085887770803,0.43525703304045477,1.2371085887770803,0.43525703304045477,False,False,383
HeaveFast,42,complement,4,13.184999737086988,1.23785854745765,0.35416181843225647,1.23785854745765,0.35416181843225647,False,False,383
HeaveFast,42,complement,5,18.554999609614015,1.2499744828638777,0.28802279259298297,1.2499744828638777,0.28802279259298297,False,False,383
HeaveFast,42,complement,6,24.894999514009285,1.288440448708586,0.2266573341774622,1.288440448708586,0.2266573341774622,False,False,383
HeaveFast,42,complement,7,32.329999450272794,1.3818310493684676,0.20368163070498094,1.3818310493684676,0.20368163070498094,False,False,383
HeaveFast,42,complement,8,40.329999450272794,1.4629549614017048,0.18668511103099195,1.4629549614017048,0.18668511103099195,False,False,383
HeaveFast,42,complement,9,48.329999450272794,1.46352616081735,0.18219145810706536,1.46352616081735,0.18219145810706536,False,False,383
HeaveFast,42,complement,10,56.329999450272794,1.4374722748332283,0.18599536078371653,1.4374722748332283,0.18599536078371653,False,False,383
HeaveFast,42,complement,11,64.3299994502728,1.4218785567704202,0.18880046610690218,1.4218785567704202,0.18880046610690218,False,False,383
HeaveFast,42,complement,12,72.3299994502728,1.3997766276394463,0.19106011793705394,1.3997766276394463,0.19106011793705394,False,False,383
HeaveFast,42,complement,13,80.3299994502728,1.3887543236073285,0.1909875439891215,1.3887543236073285,0.1909875439891215,False,False,383
HeaveFast,42,complement,14,88.3299994502728,1.3591113224658373,0.1843470044975073,1.3591113224658373,0.1843470044975073,False,False,383
