lon,lat,date,analysis_date,n_z_valid_T,dataset
-96.173141,24.768280,2025-04-07,20250404,34,qcobs_profile_orig
-79.636742,19.538349,2025-04-07,20250404,41,qcobs_profile_orig
-95.448578,19.592541,2025-04-08,20250404,40,qcobs_profile_orig
-87.543381,27.348021,2025-04-08,20250404,41,qcobs_profile_orig
-90.701210,25.770800,2025-04-08,20250404,41,qcobs_profile_orig
-84.731506,23.631281,2025-04-08,20250404,41,qcobs_profile_orig
-96.249702,23.156670,2025-04-08,20250404,41,qcobs_profile_orig
-87.022789,28.139589,2025-04-08,20250404,41,qcobs_profile_orig
-95.113861,19.320589,2025-04-01,20250405,40,qcobs_profile_orig
-89.362167,28.120621,2025-04-01,20250405,32,qcobs_profile_orig
-84.490570,23.866730,2025-04-01,20250405,41,qcobs_profile_orig
-91.613564,26.723640,2025-04-01,20250405,41,qcobs_profile_orig
-80.583488,23.751329,2025-04-01,20250405,31,qcobs_profile_orig
-83.877792,23.994810,2025-04-01,20250405,40,qcobs_profile_orig
-89.521027,27.329439,2025-04-02,20250405,41,qcobs_profile_orig
-84.752151,25.399281,2025-04-02,20250405,40,qcobs_profile_orig
-87.054321,26.124020,2025-04-02,20250405,41,qcobs_profile_orig
-87.795303,25.239700,2025-04-02,20250405,41,qcobs_profile_orig
-88.692719,25.854740,2025-04-02,20250405,41,qcobs_profile_orig
-96.170120,24.773581,2025-04-02,20250405,34,qcobs_profile_orig
-95.513771,19.736271,2025-04-03,20250405,41,qcobs_profile_orig
-87.428032,27.386209,2025-04-03,20250405,41,qcobs_profile_orig
-90.256622,25.421490,2025-04-03,20250405,41,qcobs_profile_orig
-85.104141,23.942511,2025-04-03,20250405,41,qcobs_profile_orig
-96.269890,23.005630,2025-04-03,20250405,41,qcobs_profile_orig
-86.903831,28.056789,2025-04-03,20250405,41,qcobs_profile_orig
-94.790939,19.130501,2025-04-04,20250405,35,qcobs_profile_orig
-96.161324,20.299030,2025-04-04,20250405,34,qcobs_profile_orig
-89.428772,27.678600,2025-04-04,20250405,34,qcobs_profile_orig
